fleet_number;operator;production_year;model;air_conditioning;feed_id
10;Komunikacja Miejska Rybnik;2023;Solaris Urbino 12 hybrid;1;KMR
11;Komunikacja Miejska Rybnik;2023;Solaris Urbino 12 hybrid;1;KMR
12;Komunikacja Miejska Rybnik;2023;Solaris Urbino 12 hybrid;1;KMR
13;Komunikacja Miejska Rybnik;2023;Solaris Urbino 12 hybrid;1;KMR
14;Komunikacja Miejska Rybnik;2023;Solaris Urbino 12 hybrid;1;KMR
15;Komunikacja Miejska Rybnik;2023;Solaris Urbino 12 hybrid;1;KMR
16;Komunikacja Miejska Rybnik;2023;Solaris Urbino 12 hybrid;1;KMR
17;Komunikacja Miejska Rybnik;2023;Solaris Urbino 12 hybrid;1;KMR
18;Komunikacja Miejska Rybnik;2023;Solaris Urbino 12 hybrid;1;KMR
19;Komunikacja Miejska Rybnik;2023;Solaris Urbino 12 hybrid;1;KMR
20;Komunikacja Miejska Rybnik;2023;Solaris Urbino 12 hybrid;1;KMR
21;Komunikacja Miejska Rybnik;2014;Solaris Urbino 12;1;KMR
22;Komunikacja Miejska Rybnik;2017;Solaris Urbino 18 hybrid;1;KMR
23;Komunikacja Miejska Rybnik;2023;Neso Bus 12;1;KMR
24;Komunikacja Miejska Rybnik;2023;Neso Bus 12;1;KMR
25;Komunikacja Miejska Rybnik;2023;Neso Bus 12;1;KMR
26;Komunikacja Miejska Rybnik;2023;Neso Bus 12;1;KMR
27;Komunikacja Miejska Rybnik;2023;Neso Bus 12;1;KMR
28;Komunikacja Miejska Rybnik;2023;Neso Bus 12;1;KMR
29;Komunikacja Miejska Rybnik;2023;Neso Bus 12;1;KMR
30;Komunikacja Miejska Rybnik;2023;Neso Bus 12;1;KMR
31;Komunikacja Miejska Rybnik;2023;Neso Bus 12;1;KMR
32;Komunikacja Miejska Rybnik;2023;Neso Bus 12;1;KMR
33;Komunikacja Miejska Rybnik;2023;Neso Bus 12;1;KMR
34;Komunikacja Miejska Rybnik;2023;Neso Bus 12;1;KMR
35;Komunikacja Miejska Rybnik;2023;Neso Bus 12;1;KMR
36;Komunikacja Miejska Rybnik;2023;Neso Bus 12;1;KMR
37;Komunikacja Miejska Rybnik;2023;Neso Bus 12;1;KMR
38;Komunikacja Miejska Rybnik;2023;Neso Bus 12;1;KMR
39;Komunikacja Miejska Rybnik;2023;Neso Bus 12;1;KMR
40;Komunikacja Miejska Rybnik;2023;Neso Bus 12;1;KMR
41;Komunikacja Miejska Rybnik;2023;Neso Bus 12;1;KMR
42;Komunikacja Miejska Rybnik;2023;Neso Bus 12;1;KMR
43;Komunikacja Miejska Rybnik;2017;Solaris Urbino 12 hybrid;1;KMR
44;Komunikacja Miejska Rybnik;2019;Solaris Urbino 18 hybrid;1;KMR
45;Komunikacja Miejska Rybnik;2014;Solaris Urbino 18 Hybrid;1;KMR
233;Mikrus Żory;2020;MAN eTGE 3.140 / Mercus City;1;KMR
236;Mikrus Żory;2022;K-Bus E-Solar City III;1;KMR
237;Mikrus Żory;2022;K-Bus E-Solar City III;1;KMR
238;Mikrus Żory;2022;K-Bus E-Solar City III;1;KMR
239;Mikrus Żory;2022;K-Bus E-Solar City III;1;KMR
240;Mikrus Żory;2021;MAN eTGE 3.140 / Mercus City;1;KMR
241;Mikrus Żory;2021;MAN eTGE 3.140 / Mercus City;1;KMR
243;Mikrus Żory;2021;MAN TGE 5.180 / Mercus City;1;KMR
260;MKA Jastrzębie-Zdrój;2010;Solaris Urbino 12 LE;1;MZK
261;MKA Jastrzębie-Zdrój;2010;Solaris Urbino 12 LE;1;MZK
301;MKA Jastrzębie-Zdrój;2013;Solaris Urbino 12;0;MZK
302;MKA Jastrzębie-Zdrój;2013;Solaris Urbino 12;0;MZK
303;MKA Jastrzębie-Zdrój;2013;Solaris Urbino 12;0;MZK
304;MKA Jastrzębie-Zdrój;2013;Solaris Urbino 12;0;MZK
305;MKA Jastrzębie-Zdrój;2013;Solaris Urbino 12;0;MZK
306;MKA Jastrzębie-Zdrój;2013;Solaris Urbino 12;0;MZK
307;MKA Jastrzębie-Zdrój;2013;Solaris Urbino 12;0;MZK
308;MKA Jastrzębie-Zdrój;2013;Solaris Urbino 12;0;MZK
309;MKA Jastrzębie-Zdrój;2013;Solaris Urbino 12;0;MZK
310;MKA Jastrzębie-Zdrój;2013;Solaris Urbino 12;0;MZK
312;MKA Jastrzębie-Zdrój;2013;Solaris Urbino 12;0;MZK
313;MKA Jastrzębie-Zdrój;2013;Solaris Urbino 12;0;MZK
314;MKA Jastrzębie-Zdrój;2013;Solaris Urbino 12;0;MZK
315;MKA Jastrzębie-Zdrój;2013;Solaris Urbino 12;0;MZK
316;MKA Jastrzębie-Zdrój;2012;Solaris Urbino 12;1;MZK
331;MKA Jastrzębie-Zdrój;2011;Mercedes-Benz O530LE MÜ II;1;MZK
332;MKA Jastrzębie-Zdrój;2011;Mercedes-Benz O530LE MÜ II;1;MZK
333;MKA Jastrzębie-Zdrój;2020;Solaris Urbino 12;1;MZK
334;MKA Jastrzębie-Zdrój;2020;"	Solaris Urbino 12";1;MZK
335;MKA Jastrzębie-Zdrój;2020;Solaris Urbino 12;1;MZK
336;MKA Jastrzębie-Zdrój;2020;Solaris Urbino 12;1;MZK
337;MKA Jastrzębie-Zdrój;2020;Solaris Urbino 12;1;MZK
338;MKA Jastrzębie-Zdrój;2020;Solaris Urbino 12;1;MZK
339;MKA Jastrzębie-Zdrój;2020;Solaris Urbino 12;1;MZK
340;MKA Jastrzębie-Zdrój;2016;Solaris Urbino 12 hybrid;1;MZK
342;MKA Jastrzębie-Zdrój;2016;MAN NL323 Lion`s City;1;MZK
343;MKA Jastrzębie-Zdrój;2016;MAN NL323 Lion`s City;1;MZK
344;MKA Jastrzębie-Zdrój;2023;Mercedes-Benz 519 CDI / Mercus MB Sprinter City;1;MZK
345;MKA Jastrzębie-Zdrój;2023;Mercedes-Benz 519 CDI / Mercus MB Sprinter City;1;MZK
346;MKA Jastrzębie-Zdrój;2024;Solaris Urbino 12;1;MZK
347;MKA Jastrzębie-Zdrój;2024;Solaris Urbino 12;1;MZK
348;MKA Jastrzębie-Zdrój;2024;Solaris Urbino 12;1;MZK
349;MKA Jastrzębie-Zdrój;2024;Solaris Urbino 12;1;MZK
350;MKA Jastrzębie-Zdrój;2025;MAN NL360 Lion`s City 12;1;MZK
351;MKA Jastrzębie-Zdrój;2025;MAN NL360 Lion`s City 12;1;MZK
352;MKA Jastrzębie-Zdrój;2025;MAN NL360 Lion`s City 12;1;MZK
353;MKA Jastrzębie-Zdrój;2025;MAN NL360 Lion`s City 12;1;MZK
354;MKA Jastrzębie-Zdrój;2025;MAN NL360 Lion`s City 12;1;MZK
355;MKA Jastrzębie-Zdrój;2025;MAN NL360 Lion`s City 12;1;MZK
356;MKA Jastrzębie-Zdrój;2025;MAN NL360 Lion`s City 12;1;MZK
357;MKA Jastrzębie-Zdrój;2025;MAN NL360 Lion`s City 12;1;MZK
358;MKA Jastrzębie-Zdrój;2025;MAN NL360 Lion`s City 12;1;MZK
359;MKA Jastrzębie-Zdrój;2025;MAN NL360 Lion`s City 12;1;MZK
360;MKA Jastrzębie-Zdrój;2025;MAN NL360 Lion`s City 12;1;MZK
1022;Kłosok Żory;2015;SOR NB12;1;KMR
1100;Kłosok Żory;2014;Solaris Urbino 12;1;KMR
1101;Kłosok Żory;2014;Solaris Urbino 12;1;KMR
1102;Kłosok Żory;2014;Solaris Urbino 12;1;KMR
1103;Kłosok Żory;2014;Solaris Urbino 12;1;KMR
1122;Kłosok Żory;2015;SOR NB18;0;KMR
1123;Kłosok Żory;2015;SOR NB18;0;KMR
1132;Kłosok Żory;2015;SOR NB12;1;KMR
1136;Kłosok Żory;2015;SOR NB12;1;KMR
1137;Kłosok Żory;2015;SOR NB18;1;KMR
1138;Kłosok Żory;2015;SOR NB18;1;KMR
1139;Kłosok Żory;2015;SOR NB18;1;KMR
1140;Kłosok Żory;2015;SOR NB18;1;KMR
1141;Kłosok Żory;2015;SOR NB12;1;KMR
1142;Kłosok Żory;2015;SOR NB12;1;KMR
1143;Kłosok Żory;2015;SOR NB12;1;KMR
1144;Kłosok Żory;2015;SOR NB12;1;KMR
1226;Kłosok Żory;2024;CRRC TEG6125EU (BEV01);1;KMR
1227;Kłosok Żory;2024;CRRC TEG6125EU (BEV01);1;KMR
1250;Kłosok Żory;2024;Ikarus 120e;1;KMR
1700;Kłosok Żory;2022;Solaris Urbino 18 electric;1;KMR
1701;Kłosok Żory;2022;Solaris Urbino 18 electric;1;KMR
1702;Kłosok Żory;2022;Solaris Urbino 18 electric;1;KMR
1703;Kłosok Żory;2022;Solaris Urbino 18 electric;1;KMR
1704;Kłosok Żory;2022;Solaris Urbino 18 electric;1;KMR
1705;Kłosok Żory;2022;Solaris Urbino 12 electric;1;KMR
1706;Kłosok Żory;2022;Solaris Urbino 12 electric;1;KMR
1707;Kłosok Żory;2022;Solaris Urbino 12 electric;1;KMR
1708;Kłosok Żory;2022;Solaris Urbino 12 electric;1;KMR
1709;Kłosok Żory;2022;Solaris Urbino 12 electric;1;KMR
1710;Kłosok Żory;2022;Solaris Urbino 12 electric;1;KMR
1711;Kłosok Żory;2022;Solaris Urbino 12 electric;1;KMR
1712;Kłosok Żory;2022;Solaris Urbino 12 electric;1;KMR
1713;Kłosok Żory;2022;Solaris Urbino 12 electric;1;KMR
1714;Kłosok Żory;2022;Solaris Urbino 12 electric;1;KMR
1715;Kłosok Żory;2022;Solaris Urbino 12 electric;1;KMR
2023;Mikrus Żory;2016;MAN NL293 Lion`s City;1;MZK
2032;Kłosok Żory;2016;Glaspo 12G;0;MZK
2033;Kłosok Żory;2015;МАЗ 203069;0;MZK
2034;Kłosok Żory;2015;МАЗ 203069;0;MZK
2051;Kłosok Żory;2016;SOR NB12;1;MZK
2131;Kłosok Żory;2015;SOR NB12;1;MZK
2134;Kłosok Żory;2015;SOR NB12;1;MZK
2135;Kłosok Żory;2015;SOR NB12;1;MZK
2154;Kłosok Żory;2016;SOR NB12;1;MZK
2155;Kłosok Żory;2016;SOR NB12;1;MZK
2156;Kłosok Żory;2016;SOR NB12;1;KMR
2157;Kłosok Żory;2016;SOR NB12;1;KMR
2201;Kłosok Żory;2016;Glaspo 12G;0;MZK
2203;Kłosok Żory;2016;Glaspo 12G;0;MZK
2204;Kłosok Żory;2016;Glaspo 12G;0;MZK
2205;Kłosok Żory;2016;Glaspo 12G;0;MZK
2249;Kłosok Żory;2015;SOR NB12;1;MZK
2252;Kłosok Żory;2015;SOR NB12;1;MZK
2605;Kłosok Żory;2023;Ikarus 120e;1;MZK
2607;Kłosok Żory;2024;Ikarus 120e;1;MZK
2608;Kłosok Żory;2024;Ikarus 120e;1;MZK
2609;Kłosok Żory;2024;Ikarus 120e;1;MZK
2610;Mikrus Żory;2023;Güleryüz Ecoline 12LF;1;MZK
2611;Mikrus Żory;2023;Ikarus 120e;1;MZK
2613;Kłosok Żory;2025;Güleryüz Ecoline 12LF;1;MZK
2614;Kłosok Żory;2025;Güleryüz Ecoline 12LF;1;MZK
2615;Kłosok Żory;2025;Güleryüz Ecoline 12LF;1;MZK
2616;Kłosok Żory;2019;Güleryüz Ecoline 12LF;1;MZK
2617;Kłosok Żory;2024;Akia Ultra LF12;1;MZK
3815;Kłosok Żory;2014;Mercedes-Benz Conecto LF;1;KMR
3846;Kłosok Żory;2015;SOR NB18;1;KMR
3847;Kłosok Żory;2015;SOR NB18;1;KMR
3851;Kłosok Żory;2015;SOR NB18;1;KMR
4031;Kłosok Żory;2013;Mercedes-Benz Conecto LF A30;0;MZK
4083;Kłosok Żory;2014;МАЗ 203069;0;MZK
4205;Zajazd Ruda Śląska;2016;Autosan M10LF;1;MZK
4207;Zajazd Ruda Śląska;2016;Glaspo 12G;1;MZK
4219;Kłosok Żory;2008;Solaris Urbino 12;0;MZK
4232;Kłosok Żory;2009;Solaris Urbino 12;0;MZK
4243;Kłosok Żory;2013;Solaris Urbino 10;0;MZK
4244;Kłosok Żory;2013;Solaris Urbino 10;0;MZK
4247;Kłosok Żory;2013;Solaris Urbino 12;0;MZK
4248;Kłosok Żory;2013;Solaris Urbino 12;0;MZK
4517;Kłosok Żory;2013;Solaris Urbino 12;0;MZK
4518;Kłosok Żory;2013;Solaris Urbino 12;1;MZK
4759;Kłosok Żory;2013;Mercedes-Benz Conecto LF;1;MZK
4772;Kłosok Żory;2013;Mercedes-Benz Conecto LF;1;MZK
4788;Kłosok Żory;2013;Mercedes-Benz Conecto LF;1;MZK
8041;NFU Kempny Pawłowice;2025;Mercedes-Benz 517 CDI / Automet;1;MZK
8042;NFU Kempny Pawłowice;2025;Mercedes-Benz 517 CDI / Automet;1;MZK
